Date,Open,High,Low,Close,Volume
2024-04-23,51.66,53.6,51.54,53.21,281237.0
2024-04-24,54.385,54.875,52.87,53.74,336594.0
2024-04-25,50.86,53.18,50.49,53.18,392932.0
2024-04-26,54.06,55.85,53.79,55.31,331044.0
2024-04-29,56.1,56.31,54.89,55.95,256642.0
2024-04-30,55.36,55.76,52.745,52.745,238011.0
2024-05-01,52.12,54.7,51.29,51.64,733306.0
2024-05-02,52.92,53.83,51.23,53.7,412099.0
2024-05-03,56.28,57.055,55.75,56.71,353539.0
2024-05-06,57.42,58.575,57.18,58.55,229643.0
2024-05-07,58.725,59.215,58.3,58.55,426552.0
2024-05-08,57.5,59.01,57.5,58.41,208214.0
2024-05-09,58.51,58.985,57.76,58.745,139031.0
2024-05-10,59.36,60.05,58.56,59.16,344996.0
2024-05-13,59.94,59.94,58.99,59.58,185639.0
2024-05-14,59.36,60.88,59.295,60.65,249214.0
2024-05-15,61.7,63.6,61.1,63.46,349067.0
2024-05-16,63.36,64.195,63.005,63.005,284279.0
2024-05-17,63.09,63.34,62.07,62.97,209797.0
2024-05-20,63.04,64.525,62.96,64.195,286830.0
2024-05-21,63.44,64.67,63.36,64.58,257233.0
2024-05-22,64.68,65.0,63.45,64.71,231336.0
2024-05-23,66.5,66.5,62.81,63.61,339104.0
2024-05-24,64.06,65.87,63.965,65.35,370232.0
2024-05-28,65.82,66.15,64.84,66.15,493663.0
2024-05-29,64.27,65.4,64.27,64.63,159593.0
2024-05-30,64.11,64.17,61.99,62.5,277603.0
2024-05-31,62.6,62.86,58.97,62.49,469193.0
2024-06-03,63.8,64.08,60.98,63.17,237732.0
2024-06-04,63.03,64.1,62.27,63.56,312079.0
2024-06-05,65.13,67.465,64.75,67.465,277777.0
2024-06-06,67.61,67.835,66.9,67.38,133924.0
2024-06-07,67.12,68.29,66.725,67.04,167230.0
2024-06-10,66.61,68.035,66.48,67.885,124191.0
2024-06-11,67.295,69.3,66.66,69.13,151409.0
2024-06-12,71.02,72.955,70.73,72.0,350483.0
2024-06-13,73.62,73.835,72.14,73.1,130670.0
2024-06-14,72.96,74.11,72.78,74.11,143041.0
2024-06-17,74.27,77.72,73.73,76.835,212120.0
2024-06-18,76.82,77.2,76.07,76.95,99287.0
2024-06-20,77.54,77.625,74.24,75.085,377692.0
2024-06-21,74.77,75.49,73.75,74.51,180965.0
2024-06-24,73.81,74.595,71.81,71.855,175862.0
2024-06-25,72.74,74.4,72.39,74.31,168144.0
2024-06-26,73.57,74.68,73.465,74.14,194802.0
2024-06-27,74.48,75.595,73.96,75.02,203408.0
2024-06-28,75.215,77.5,73.5,73.61,288339.0
2024-07-01,74.08,75.25,72.445,75.01,197981.0
2024-07-02,74.31,77.37,74.28,77.33,248373.0
2024-07-03,77.14,79.25,77.13,79.155,111428.0
2024-07-05,79.67,81.84,79.43,81.64,211048.0
2024-07-08,81.73,82.33,81.28,82.145,117400.0
2024-07-09,82.98,83.39,81.64,82.39,226471.0
2024-07-10,83.34,85.17,82.68,84.91,205289.0
2024-07-11,85.04,85.04,78.71,79.38,362339.0
2024-07-12,79.44,82.94,79.325,80.71,301724.0
2024-07-15,81.56,83.605,80.23,81.24,405515.0
2024-07-16,81.99,82.28,79.76,81.3,245984.0
2024-07-17,77.31,77.565,74.145,74.155,348446.0
2024-07-18,75.8,75.8,71.555,73.075,441677.0
2024-07-19,72.76,73.96,70.45,71.02,430942.0
2024-07-22,73.265,74.615,72.185,74.205,224513.0
2024-07-23,73.75,75.1,73.195,73.36,194725.0
2024-07-24,70.14,70.36,65.065,65.59,466620.0
2024-07-25,65.53,67.3,62.13,63.25,735026.0
2024-07-26,64.855,66.29,63.83,65.12,413018.0
2024-07-29,66.19,67.17,64.555,65.5,205946.0
2024-07-30,66.29,66.55,61.35,61.87,417533.0
2024-07-31,67.08,69.0,66.5,68.27,655531.0
2024-08-01,68.575,70.22,61.71,63.385,575064.0
2024-08-02,59.62,60.68,57.0,58.74,474307.0
2024-08-05,49.01,56.18,48.96,53.59,661319.0
2024-08-06,54.225,57.75,53.21,54.97,561570.0
2024-08-07,57.59,58.48,53.0,53.25,415675.0
2024-08-08,55.46,58.315,54.01,58.05,449889.0
2024-08-09,57.45,59.5,57.02,58.985,411072.0
2024-08-12,59.22,60.375,58.17,59.35,309161.0
2024-08-13,60.97,63.7,60.9,63.47,376166.0
2024-08-14,63.98,64.63,61.905,63.705,299543.0
2024-08-15,66.28,68.625,65.99,68.39,287415.0
2024-08-16,67.57,69.25,67.22,68.62,247056.0
2024-08-19,68.665,71.345,67.89,71.3,418506.0
2024-08-20,70.91,72.055,70.1,70.87,334262.0
2024-08-21,71.19,72.65,70.465,71.92,383959.0
2024-08-22,72.85,73.14,67.94,68.425,472786.0
2024-08-23,70.23,71.71,68.51,70.55,351930.0
2024-08-26,70.19,70.62,67.55,68.145,214174.0
2024-08-27,67.73,69.47,66.87,69.085,154879.0
2024-08-28,68.8,69.1,65.17,66.54,350688.0
2024-08-29,67.45,69.42,65.8,66.35,302440.0
2024-08-30,68.095,68.86,66.2,68.73,386396.0
2024-09-03,67.3,67.3,61.33,62.22,566170.0
2024-09-04,61.16,63.36,60.65,61.82,256636.0
2024-09-05,61.375,63.69,60.75,62.0,354421.0
2024-09-06,61.67,61.96,56.74,56.74,606739.0
2024-09-09,58.58,59.47,57.38,59.15,338366.0
2024-09-10,59.82,60.905,58.21,60.695,266888.0
2024-09-11,61.17,64.92,57.78,64.55,443378.0
2024-09-12,64.64,66.86,63.89,66.53,286905.0
2024-09-13,66.18,67.84,66.17,67.35,274236.0
2024-09-16,66.42,66.67,65.07,66.375,204881.0
2024-09-17,67.72,68.24,65.5,66.54,416204.0
2024-09-18,66.98,68.74,65.39,65.63,447278.0
2024-09-19,70.3,71.78,69.45,70.66,299247.0
2024-09-20,70.15,70.64,68.34,70.05,431580.0
2024-09-23,70.6,71.15,70.1,70.655,124024.0
2024-09-24,71.27,72.08,69.44,71.665,207341.0
2024-09-25,71.22,72.47,71.1,71.71,159865.0
2024-09-26,74.95,75.0,71.62,73.31,294213.0
2024-09-27,73.63,73.65,71.5,71.94,218453.0
2024-09-30,71.45,72.615,70.24,72.31,278169.0
2024-10-01,72.29,72.42,67.7,69.45,604733.0
2024-10-02,68.94,70.52,67.89,69.66,188999.0
2024-10-03,68.78,70.795,68.41,69.505,202697.0
2024-10-04,72.03,72.16,69.78,71.96,222251.0
2024-10-07,71.06,71.515,69.13,69.65,190204.0
2024-10-08,70.67,72.965,70.325,72.66,160254.0
2024-10-09,72.53,74.63,72.08,74.43,272752.0
2024-10-10,73.31,74.92,72.73,74.1,214583.0
2024-10-11,73.16,74.79,72.9,74.32,166217.0
2024-10-14,75.44,76.76,75.21,76.21,215206.0
2024-10-15,76.35,76.61,72.15,73.16,369366.0
2024-10-16,73.25,73.49,71.75,73.17,199141.0
2024-10-17,75.55,75.6,73.27,73.57,274193.0
2024-10-18,74.37,75.14,74.16,74.62,240043.0
2024-10-21,74.09,75.42,73.2,75.08,308706.0
2024-10-22,73.81,75.95,73.58,75.295,211342.0
2024-10-23,74.17,74.435,70.31,71.75,477217.0
2024-10-24,73.42,73.79,72.29,73.61,302729.0
2024-10-25,74.705,76.98,74.405,74.76,341645.0
2024-10-28,75.84,76.05,74.675,74.78,178532.0
2024-10-29,74.91,77.44,74.1,76.905,252369.0
2024-10-30,76.55,76.93,74.58,74.58,260236.0
2024-10-31,73.3,73.3,69.44,69.515,548877.0
2024-11-01,70.1,72.35,70.0,71.1,267724.0
2024-11-04,70.63,71.755,69.55,70.3,313993.0
2024-11-05,70.98,73.22,70.94,73.0,275729.0
2024-11-06,76.73,79.21,76.23,78.87,388153.0
2024-11-07,80.185,82.915,80.185,82.59,322420.0
2024-11-08,82.31,83.1,81.93,82.67,179018.0
2024-11-11,83.37,83.415,81.2,82.58,222907.0
2024-11-12,82.43,82.91,80.66,82.14,227026.0
2024-11-13,81.89,83.06,80.72,81.79,245619.0
2024-11-14,81.64,81.98,79.66,80.1,186852.0
2024-11-15,77.265,77.33,73.3,74.33,566815.0
2024-11-18,74.9,76.7,74.34,75.8,233820.0
2024-11-19,74.57,77.54,74.42,77.47,302260.0
2024-11-20,77.11,77.28,74.11,77.13,372885.0
2024-11-21,78.53,78.83,74.58,78.01,297555.0
2024-11-22,77.65,78.535,76.9,78.36,241497.0
2024-11-25,80.01,80.84,77.56,78.52,246070.0
2024-11-26,79.3,80.25,78.905,79.86,253334.0
2024-11-27,79.21,79.22,76.35,78.0,337493.0
2024-11-29,78.015,80.105,77.885,79.92,110104.0
2024-12-02,80.48,82.935,80.31,82.48,303684.0
2024-12-03,81.815,83.33,81.57,83.235,422289.0
2024-12-04,84.875,86.34,84.57,86.19,245656.0
2024-12-05,86.27,86.635,85.38,85.38,192824.0
2024-12-06,85.78,87.85,85.77,87.69,212803.0
2024-12-09,87.255,87.65,85.11,85.7,206589.0
2024-12-10,86.19,87.11,84.1,84.77,231768.0
2024-12-11,86.87,89.62,86.695,89.32,368261.0
2024-12-12,88.14,88.765,87.29,87.47,299748.0
2024-12-13,89.41,90.765,87.86,89.41,292390.0
2024-12-16,90.73,93.775,90.68,93.29,391940.0
2024-12-17,92.26,92.895,91.18,92.08,224170.0
2024-12-18,91.65,92.56,81.48,82.03,379932.0
2024-12-19,84.235,84.53,80.75,80.86,392669.0
2024-12-20,79.05,85.855,78.52,83.34,473902.0
2024-12-23,83.46,84.075,81.84,82.45,62688.0
2024-12-24,85.97,88.46,85.68,88.46,116630.0
2024-12-26,87.6,89.06,86.67,88.28,173257.0
2024-12-27,86.34,86.565,82.31,84.595,316438.0
2024-12-30,81.16,83.05,79.56,81.16,161098.0
2024-12-31,81.915,82.15,78.685,78.97,227619.0
2025-01-02,80.54,81.6,76.59,78.49,267915.0
2025-01-03,79.99,82.9,79.64,82.37,176802.0
2025-01-06,84.92,86.82,84.06,85.38,215885.0
2025-01-07,85.7,85.73,79.765,80.74,186800.0
2025-01-08,80.55,81.41,78.48,80.63,158094.0
2025-01-10,78.81,78.81,75.385,76.94,258255.0
2025-01-13,74.03,76.18,73.34,75.98,236287.0
2025-01-14,77.49,78.035,74.21,75.95,241309.0
2025-01-15,79.27,81.425,78.62,80.91,197606.0
2025-01-16,81.97,82.05,79.18,79.18,187910.0
2025-01-17,83.68,83.905,81.86,83.15,166724.0
2025-01-21,84.49,85.14,82.41,84.46,216411.0
2025-01-22,86.85,88.895,86.71,87.87,226473.0
2025-01-23,86.49,88.36,86.3,88.36,160821.0
2025-01-24,88.43,88.78,86.04,86.85,309702.0
2025-01-27,77.545,80.99,77.185,79.05,421980.0
2025-01-28,79.61,83.16,78.145,82.39,259668.0
2025-01-29,82.93,82.93,80.36,81.65,244574.0
2025-01-30,83.485,84.585,80.9,83.16,291126.0
2025-01-31,84.86,87.05,82.22,82.82,343286.0
2025-02-03,78.52,81.96,77.375,80.69,543997.0
2025-02-04,80.875,83.91,80.73,83.66,264206.0
