Date,Open,High,Low,Close,Volume
2021-06-29,9.22,9.27,9.11,9.11,455400.0
2021-06-30,9.12,9.19,9.09,9.13,281133.0
2021-07-01,9.18,9.28,9.11,9.145,691827.0
2021-07-02,8.98,8.99,8.8,8.83,512750.0
2021-07-06,8.77,8.98,8.69,8.71,1708995.0
2021-07-07,8.54,8.79,8.53,8.665,739570.0
2021-07-08,9.05,9.115,8.75,8.83,584325.0
2021-07-09,8.86,8.88,8.61,8.64,326579.0
2021-07-12,8.54,8.65,8.51,8.54,458317.0
2021-07-13,8.57,8.6,8.33,8.55,1089070.0
2021-07-14,8.37,8.55,8.33,8.515,684700.0
2021-07-15,8.51,8.815,8.5,8.69,656330.0
2021-07-16,8.605,8.905,8.54,8.895,551993.0
2021-07-19,9.17,9.295,9.065,9.11,1631398.0
2021-07-20,9.02,9.15,8.67,8.775,490921.0
2021-07-21,8.81,8.82,8.59,8.59,454821.0
2021-07-22,8.52,8.54,8.405,8.415,407236.0
2021-07-23,8.31,8.4,8.09,8.12,1418439.0
2021-07-26,8.16,8.21,8.07,8.1,648353.0
2021-07-27,8.12,8.64,8.12,8.37,1848608.0
2021-07-28,8.27,8.43,8.17,8.25,1752043.0
2021-07-29,8.29,8.29,8.145,8.22,910967.0
2021-07-30,8.47,8.47,8.31,8.35,639698.0
2021-08-02,8.23,8.38,8.19,8.355,328178.0
2021-08-03,8.32,8.52,8.195,8.21,602407.0
2021-08-04,8.2,8.26,8.1,8.14,770445.0
2021-08-05,8.1,8.13,8.0,8.0,327183.0
2021-08-06,8.08,8.18,8.03,8.105,419113.0
2021-08-09,8.06,8.13,8.03,8.06,259848.0
2021-08-10,8.06,8.265,8.01,8.19,391518.0
2021-08-11,8.1,8.32,8.07,8.225,443478.0
2021-08-12,8.3,8.345,8.115,8.125,259839.0
2021-08-13,8.12,8.14,8.035,8.055,220400.0
2021-08-16,8.125,8.37,8.065,8.065,396880.0
2021-08-17,8.275,8.41,8.17,8.26,745990.0
2021-08-18,8.3,8.515,8.2,8.51,514227.0
2021-08-19,8.64,8.65,8.25,8.38,1345704.0
2021-08-20,8.295,8.3,8.09,8.095,277087.0
2021-08-23,8.03,8.03,7.7,7.75,412111.0
2021-08-24,7.695,7.73,7.64,7.685,165746.0
2021-08-25,7.65,7.7,7.62,7.645,135591.0
2021-08-26,7.68,7.81,7.655,7.795,184575.0
2021-08-27,7.71,7.76,7.54,7.555,288961.0
2021-08-30,7.51,7.51,7.285,7.3,329989.0
2021-08-31,7.38,7.41,7.3,7.33,558312.0
2021-09-01,7.26,7.3,7.17,7.295,320587.0
2021-09-02,7.2,7.365,7.2,7.31,372312.0
2021-09-03,7.36,7.36,7.21,7.23,273684.0
2021-09-07,7.225,7.28,7.165,7.195,226487.0
2021-09-08,7.22,7.4,7.22,7.285,599441.0
2021-09-09,7.25,7.36,7.2,7.36,437552.0
2021-09-10,7.245,7.53,7.21,7.53,380096.0
2021-09-13,7.39,7.66,7.35,7.54,413421.0
2021-09-14,7.41,7.655,7.4,7.62,282370.0
2021-09-15,7.565,7.695,7.41,7.44,376635.0
2021-09-16,7.53,7.62,7.38,7.41,514246.0
2021-09-17,7.46,7.735,7.46,7.655,449997.0
2021-09-20,8.045,8.44,7.94,8.145,754024.0
2021-09-21,8.005,8.195,7.945,8.1,500541.0
2021-09-22,8.08,8.12,7.8,7.895,307720.0
2021-09-23,7.8,7.845,7.61,7.67,298723.0
2021-09-24,7.83,7.83,7.625,7.64,240947.0
2021-09-27,7.82,7.97,7.785,7.835,186899.0
2021-09-28,8.155,8.52,8.1,8.49,575920.0
2021-09-29,8.37,8.58,8.27,8.545,585912.0
